type,enum,name,valid,value (metric),x (mm),y (mm),z (mm)
landmark,68,KneeLeftLegRight,True,,73.9066970847302,511.2031435030639,-32.3040327724528
landmark,69,KneeRightLegFront,True,,-140.04834345759497,512.3832858275883,20.91430886275137
landmark,70,KneeRightLegBack,True,,-135.34787910884515,499.7513300517383,-99.46047970040237
landmark,71,KneeRightLegLeft,True,,-98.25991415580849,499.80360632760915,-28.45368551445722
landmark,72,KneeRightLegRight,True,,-202.46893442288626,495.2582111476649,-29.403179560619407
landmark,73,UnderKneeLeftLegFront,True,,135.91167881642278,490.89176342894433,-7.230751948191653
landmark,74,UnderKneeLeftLegBack,True,,133.5799226236254,456.23730430570214,-137.10365181776086
landmark,75,UnderKneeLeftLegLeft,True,,186.5043689003544,467.20568834147247,-66.27340049746422
landmark,76,UnderKneeLeftLegRight,True,,89.4565444442819,457.3697456878824,-45.69708486185999
landmark,77,UnderKneeRightLegFront,True,,-150.505798710941,477.46547435648847,8.11898641165019
landmark,78,UnderKneeRightLegBack,True,,-170.7749742285908,436.01066977098895,-122.4161177428737
landmark,79,UnderKneeRightLegLeft,True,,-109.82710810157522,460.5194328909948,-38.96886170519059
landmark,80,UnderKneeRightLegRight,True,,-213.80266452273645,451.4724092564177,-41.28374917198389
landmark,81,CalfLeftLegFront,True,,151.65991154650217,385.84053422959096,-25.112042777023206
landmark,82,CalfLeftLegBack,True,,138.4126625781999,362.11206114889984,-143.4207401326968
landmark,83,CalfLeftLegLeft,True,,198.48838562238302,372.29604913642805,-64.49409765849974
landmark,84,CalfLeftLegRight,True,,102.55658321008798,380.0588484395623,-46.880842269099034
landmark,85,CalfRightLegFront,True,,-165.26410267324317,382.59548688474985,-8.12327494096829
landmark,86,CalfRightLegBack,True,,-176.7714657791663,367.03558301067807,-128.91313450938355
landmark,87,CalfRightLegLeft,True,,-111.68213893800105,369.18137267669306,-58.19813202658511
landmark,88,CalfRightLegRight,True,,-224.96245273272945,362.153673133728,-80.66060105292775
landmark,89,AnkleLeftLegFront,True,,173.10595520294763,96.25174074958628,-21.816719195886826
landmark,90,AnkleLeftLegBack,True,,166.00913394793062,121.24131785462835,-113.23700339837352
landmark,91,AnkleLeftLegLeft,True,,197.02970187689053,99.87371951206167,-58.993914963468306
landmark,92,AnkleLeftLegRight,True,,146.61470252600063,103.35334612426045,-35.24524768668865
landmark,93,AnkleRightLegFront,True,,-167.99460309479292,89.11459030157033,-14.167467497457505
landmark,94,AnkleRightLegBack,True,,-171.35085814778617,100.16961393864642,-107.91813944601708
landmark,95,AnkleRightLegLeft,True,,-155.30753540811162,98.95752204770318,-26.14934495735854
landmark,96,AnkleRightLegRight,True,,-205.8982411734026,99.21783561105892,-77.82809916942911
landmark,97,FootLeftToe,True,,202.01970058636567,3.2407410402985137,135.7143696437079
landmark,98,FootLeftHeel,True,,162.07787450107014,-3.6264761493563706,-122.34386498711842
landmark,99,FootRightToe,True,,-187.68164907754183,-5.239117851998617,144.07952687271234
landmark,100,FootRightHeel,True,,-159.55581855045574,-0.7036275336556608,-114.82234040330198
landmark,101,ElbowLeft,True,,284.28624437437287,1201.988547824665,-24.210062713747234
landmark,102,ElbowRight,True,,-317.36162425899636,1171.2156555425838,1.867413924531789
